G5E962 Q9URQ5
P60709 P38340
P38340 P98170
P38340 Q03393
Q12800 P38340
P38340 Q13049
P38340 Q13155
P63279 P38340
Q13867 P38340
P38340 Q14749
Q15025 P38340
P38340 Q15038
Q16637 P38340
Q15427 P38340
Q15415 P38340
P38340 Q16637-3
P38340 Q53EZ4
P38340 Q6RW13-2
Q86UW9 P38340
P38340 Q5T124-6
Q5JST6 P38340
Q5VWX1 P38340
Q86WT6-2 P38340
P38340 Q8IUQ4-2
P38340 Q8IXK0-5
Q8N6K7-2 P38340
P38340 Q8NA61-2
P38340 Q8NDC0
P38340 Q8NHQ1
Q8N0S2 P38340
Q8WW34-2 P38340
P38340 Q93062-3
P38340 Q8NHQ1-3
Q8TAP6 P38340
Q8WVF5 P38340
P38340 Q96CD2
Q969F0 P38340
P38340 Q96DZ9-2
Q96BR9 P38340
Q96AA8 P38340
Q96MF2 P38340
P38340 Q96MA1
P38340 Q96HR9
Q96EY1-3 P38340
P38340 Q96PU8
P38340 Q9BV19
Q9BUZ4 P38340
P38340 Q9BPX1
P38340 Q99942
P38340 Q99836
P38340 Q9NQC3-3
Q9HCK0 P38340
Q9HAN9 P38340
P38340 Q9C0F1
P38340 Q9BYV6-2
P38340 Q9P2A4
Q9NWS6 P38340
Q9NVV9 P38340
Q9NSC5 P38340
Q9NRY6 P38340
Q9UHX1-5 P38340
Q9UHX1-2 P38340
P38340 Q9UDV6
Q9Y2D8 P38340
P38340 Q9Y281
Q9ULA0 P38340
Q9UI14 P38340
Q9UHX1-6 P38340
Q99259 P38635
P38635 Q8NF64
Q96BA8 P38374
Q9Y371 P38340
P38432 P38732
O75569 P38732
P38703 P63279
Q96BA8 P38695
Q8N6L0 P38695
P38744 O76083-2
Q96BA8 P38736
Q8WW34-2 P38736
P38736 Q8N6L0
P38736 Q12846
Q9H898-2 P38732
P10644 P38756
P38744 Q7L190
Q5JR59-3 P38744
Q02363 P38744
Q96BA8 P38775
Q9UJW9 P38770
P38769 P63010-2
Q8IYF3-3 P38763
Q9BXL8 P38770
P38781 Q9Y6N9-4
Q96KN7-4 P38781
P38815 Q8WW34-2
Q6RW13-2 P38815
P38815 Q13137
Q8TAP6 P38792
P38792 G5E962
Q8N6L0 P38837
Q8TAP6 P38828
Q96GY0 P38822
Q9UI14 P38815
Q96HR9 P38815
Q13049 P38868
P38868 O43765
Q96BA8 P38842
Q8N6L0 P38842
P63279 P38838
P38871 G5E962
P38868 Q9UMX0
P38868 Q6P1W5
Q9UMX0 P38886
Q9BYV6-2 P38886
Q9HCM9-2 P38879
P38879 P20290-2
P38932 Q13190
Q96HU1 P38913
Q96BA8 P38894
O14641 P38891
P39009 O14641
O00444 P39009
P38991 P63279
P38986 Q96IK5
P63279 P38986
O14777 P39518
P39518 O00635
P39078 Q13287
A0A0C4DGF1 P39014
O94972 P39009
P39518 P07910-2
O96006 P39518
P39518 O95197-3
O76083-2 P39518
Q13422-7 P39518
P39518 Q13137
P39518 P49902
P39518 P35520
P22234 P39518
Q8N7W2-2 P39518
P39518 Q8IUQ4-2
Q15041 P39518
Q9BSE2 P39547
P39518 Q9UI14
P39518 Q9NPJ6
Q96KN7-4 P39518
P39518 Q96BR9
P39682 Q96MA1
P39682 P31249
O14641 P39682
Q9UHX1-5 P39682
P39682 Q9UHX1-2
P39682 Q9P2A4
Q9NSC5 P39682
P39724 Q15437
Q13422-7 P39724
P39724 O76003
P39682 Q9Y2W2
Q9UHX1-6 P39682
A0A0C4DGS5 P39729
P39724 Q8NHQ1
Q8N9N5-2 P39724
P39724 Q15654
Q96HB5 P39946
P39946 Q5JR59-3
Q14566 P39946
P39729 Q9UKT9
P39962 A4D127
P39946 Q9UJV3-2
P39961 Q9H9H4
Q16637-3 P39990
Q16637 P39990
Q9Y6D9 P39976
P39984 P49910
Q8N6L0 P39996
P39996 Q8N6G5
A0A0C4DGS5 P40014
P40014 P19012
P37198 P40014
Q15311 P40014
P40014 Q8N6Y0
P40014 Q6P1W5
P40045 O76081-6
P40014 Q9UKT9
P40045 P19012
Q96BA8 P40074
Q13049 P40070
P40075 O15209
P40078 O14641
P40087 O14641
Q8WTU0 P40087
Q9UMX0 P40092
A0A0C4DFM5 P40099
P40099 P13196
Q96BA8 P40107
Q96BA8 P40152
P40151 P63279
P40151 O60684
Q12800 P40185
O75821 P40217
Q96BA8 P40260
P40302 O75936
P40302 A9UHW6-2
H3BTW2 P40302
P40302 O95073-2
P40302 Q13137
P14373 P40302
Q14566 P40302
Q5JR59-3 P40302
Q8TAP6 P40302
P40302 Q96CV9
Q9H257-2 P40302
Q96CV9-2 P40302
P40302 Q9H773
A0A0C4DGS5 P40303
P40302 Q9NSC5
P40303 Q8NEU8
P40325 E9PFK9
Q8N6L0 P40312
O00308 P40325
O14641 P40325
P40325 Q04323
Q04323-2 P40325
O75886 P40325
Q13137 P40325
P40325 Q13490
P40325 Q15025
Q96C32 P40325
P40325 Q96CV9-2
P40325 Q96CV9
P40325 Q9NPJ6
P40348 Q8NHQ1
P40325 Q9UMX0
A2A369 P40354
P37198 P40368
Q9Y294 P02309
O95751 P43592
P35719 O95273
P00431 P43355
Q06389 P01011
Q92997 P05738
P17255 P43355
Q8TAP6 P13130
P29703 Q8NA61-2
Q96HH9 P25641
Q96EV8 P32610
P32502 Q96HA8
P14373 P32464
P32902 Q8NA61-2
P32902 Q9H892-2
P32902 H3BTW2
P38260 P11142
Q5SW96 P38263
P38732 O75569
P39724 Q15437
Q9BYV6-2 P38886
Q96BA8 P46956
Q8TAP6 P46948
EBI-11522976 P40560
A0A024R4Q5 P53900
EBI-11522976 Q06543
P61289 Q03020
O14641 Q06630
Q07732 Q96IK5
Q9UH77 Q08273
Q15911-2 Q12318
Q8N9N5-2 Q12329
Q5T124-6 Q12329
P27476 Q14141-4
Q13422-7 Q06671
Q7L190 Q12161
Q8N684-3 P20053
Q96BA8 P40107
P25637 Q96HT8
Q96LP2 P38271
H3BTW2 O13539
A0A0C4DGS5 EBI-11522208
EBI-11522220 J3KPQ4
EBI-11522220 O15156-2
O14641 EBI-11522238
O13566 O14964
O14964 O13539
A4D127 P06782
O14641 P05738
O43765 EBI-11522265
EBI-11522279 O95994
O43765 P00724
E9PFK9 P0CH08
P09467 P09201
P06782 O43597
EBI-11522976 P06782
O94983-5 P06787
O95273 P14905
P06782 P14373
P12612 O60232
EBI-11522220 P14136
EBI-11522220 P14317
O96006 P17157
O75477 P15303
P15625 O15162
P14373 P15705
P18961 O00444
P17695 O43765
P17157 A0A0C4DGS5
P17214 EBI-11523568
P17214 O14641
EBI-11522976 P20053
A0A024R0Y4 P20053
P18961 EBI-11522976
P20049 O75928-2
P14373 P20053
P21734 O95376
A0A0C4DGS5 P20676
O43186 P20053
A0A0C4DGF1 P20081
EBI-11523890 P20107
O15156-2 P25343
O15217 P25335
O95273 P22354
P23293 A0A0C4DGS5
P38331 Q96HH9
Q96HH9 P25641
P32502 Q96HA8
Q96HD9 P32502
P39946 Q96HB5
P52870 Q96HH9
Q96HR9 P53845
Q96HR9 P38340
Q96HR9 P32502
Q96HR9 P38815
Q96IK5 P21651
Q96IK5 P20459
O14468 Q96HT8
P25637 Q96HT8
P32902 Q96HT8
Q96HU1 P38913
EBI-11522371 Q96IK5
Q96IK5 P38986
Q96IK5 Q12259
Q96IK5 P40507
Q96KN7-4 P32902
Q96KN7-4 P39518
P53829 Q96IK5
Q96IK5 P10507
P53202 Q96IK5
Q96KN7-4 P29461
Q07732 Q96IK5
Q96L14 P36108
Q96KN7-4 P38781
P46948 Q96L14
P48232 Q96L14
P38271 Q96LP2
P40956 Q96MA1
Q96MA1 P39682
Q12329 Q96MA1
P38340 Q96MA1
P38340 Q96MF2
Q96MF2 Q06132
Q96MT8-3 P01097
Q96M27 P32562
Q96MT8-3 Q04712
Q96MT8-3 P28004
EBI-11522371 Q96MT8-3
Q03654 Q96MT8-3
P01098 Q96MT8-3
P40454 Q96MT8-3
Q96PU8 P38151
P38340 Q96PU8
P32571 Q96MT8-3
Q15415 Q99383
P38159 Q99383
O43765 Q99380
Q96EQ0 Q99380
Q99288 O76003
P53286 Q96Q35-2
Q99189 Q13557-8
Q96S82 P53243
Q96QF0-2 P32502
Q96Q35-2 Q12161
P38635 Q99259
Q99836 P38340
Q99750 Q12259
Q99750 P42947
Q99750 Q12329
Q99598 P48606
Q99750 P06782
Q99750 P32589
P35184 Q99750
Q99614 Q05899
Q99750 P34164
Q9BQC3 P40487
Q9BQC3 P32502
P34164 Q9BQ66
Q99942 P38340
P38340 Q9BPX1
Q9BPX1 P32502
P06782 Q9BQ66
Q9BQY4 Q03373
P40956 Q9BQY4
P53829 Q9BQY4
P32502 Q9BQD3
Q9BQD3 P40368
Q9BQY9-2 P25651
Q12476 Q9BRK4
P40455 Q9BRK4
P25372 Q9BRK4
P32464 Q9BRK4
Q9BRK4 P18961
Q03920 Q9BUY5
P48232 Q9BUW7
Q9BUW7 P32610
Q06819 Q9BUT1
P30665 Q9BTE3-2
Q12083 Q9BRK4
P24279 Q9BTE3-2
Q03362 Q9BSE4
Q9BSE2 P52870
Q9BSE2 P39547
Q9BRK4 P40454
Q9BSE2 P15303
Q9BYV6-2 P23180
Q9BXL8 P38770
Q12154 Q9BXJ1-2
Q12161 Q9BWC9
Q9BW62 P25337
Q9BUZ4 P38340
Q9BW62 P38306
P33441 Q9BW62
P53829 Q9BW62
Q9BV19 P38340
Q9BV19 P32902
Q02831 Q9BW62
Q9C0F1 Q12259
P21734 Q9C040
Q9C040 Q12341
Q9C005 EBI-11522552
Q9BYV6-2 P38340
P32464 Q9BYV6-2
Q12100 Q9BYV6-2
Q9BYV6-2 P38886
Q9BYV6-2 O14468
P40482 Q9BYV6-2
P37263 Q9H190
P32502 Q9H0E2
Q9H0B3-3 P53141
P10823 Q9GZZ9
P43588 Q9GZT8
P12612 Q9C0F1
Q08224 Q9C0F1
P01097 Q9C0F1
Q03338 Q9C0F1
Q9C0F1 Q02831
P38340 Q9C0F1
P47086 Q9C0F1
Q9H4P4 P49723
P40454 Q9H257-2
Q9H257-2 P40302
Q12134 Q9H190
Q9H190 Q12196
Q9H190 P32796
P32342 Q9H190
P53927 Q9H190
Q9H190 P42846
Q9H190 P33322
P32502 Q9H773
Q9H6J7-4 Q12071
Q12161 Q9H9D4
P25044 Q9H972-2
P40302 Q9H773
Q9H898-2 P38732
Q9H898-2 P53202
P32902 Q9H892-2
Q01976 Q9H8Y8
Q9HCK0 Q12306
P38340 Q9HCK0
Q12259 Q9HCK0
Q9HCK0 Q12161
Q02821 Q9HAN9
EBI-11522220 Q9H9H4
Q9HAN9 Q06178
P38340 Q9HAN9
Q9H9H4 P53829
P25343 Q9H9H4
Q9H9H4 P39961
Q9HAN9 P38151
Q9HCM9-2 P52917
Q9HCM9-2 P47107
P21734 Q9HCM9-2
P26343 Q9HCM9-2
P37263 Q9HCM9-2
Q9HCM9-2 P38879
Q9HCM9-2 Q02209
Q9HCM9-2 Q07379
Q9HD26-2 P21651
Q9HD26-2 P15625
Q9HD26-2 EBI-11522575
P40368 Q9HCM9-2
Q9HCM9-2 P15732
P38151 Q9HCM9-2
Q9HD26-2 P27882
P25375 Q9NPC3
Q12161 Q9NPA5
Q9HD26-2 P25299
P37263 Q9NP64
Q9NNX1-2 Q04307
Q9NP66 P40956
P32502 Q9NQC3-3
EBI-11522208 Q9NPJ6
Q9NPJ6 P32502
Q9NPI6 Q3E7X9
Q9NPJ6 P39518
P48837 Q9NPJ6
P40325 Q9NPJ6
P48232 Q9NPJ6
P32502 Q9NRG1
Q9NRF8 Q02872
P40956 Q9NRA8-2
Q9NQC3-3 P38340
P53286 Q9NRA8
P40454 Q9NR46
P53296 Q9NQC3-3
P40956 Q9NRA8
Q9NS73 Q06411
P38340 Q9NRY6
P53829 Q9NRG1
P38128 Q9NRQ2
Q9NRG1 P15202
P32502 Q9NRY6
Q06411 Q9NS73-5
Q02821 Q9NS73
P32571 Q9NSC5
Q9NS73-5 Q02821
P38340 Q9NSC5
Q9NSC5 P40302
Q9NSC5 P17157
Q9NSC5 P32502
P52286 Q9NVF7
Q9NTW7 Q12161
Q9NSC5 P28004
P39682 Q9NSC5
Q9NSC5 P35191
Q9NTM9 P32502
Q9NVV9 P38340
Q9NVV9 P35184
P25372 Q9NVV9
Q9NVV9 Q02821
Q9NVV9 Q12259
P32502 Q9NVV9
P47086 Q9NWT6
Q9NWS6 P32502
Q9NWS6 Q12259
P53829 Q9NVV9
Q9NVV9 Q12161
Q9NVV9 P53335
Q9NWS6 P38340
Q9NYB9-2 Q03782
Q12446 Q9NYB9-2
P08458 Q9NWX6
Q12015 Q9NX47
P52286 Q9NXK8
Q12208 Q9P1Z2
Q9P1Z2 P46678
Q04264 Q9P1Z2
P25372 Q9NYB9-2
P09435 Q9NZL4
Q9NYB9-2 P16523
P09435 Q9NZL4-3
P38340 Q9P2A4
Q9P2A4 O14468
P39682 Q9P2A4
Q12259 Q9P209
P32474 Q9P286
Q9P286 P47041
Q9P286 P32502
Q9UFD9 P23059
P32502 Q9UDV6
Q9P2K3-2 P33297
Q9UDV6 P38340
P28004 Q9UDV6
Q01976 Q9UGJ1-2
Q9UGJ1-2 P18961
P31384 Q9UFF9
P47041 Q9UFD9
Q9UFD9 P42937
P49955 Q9UHX1-2
Q9UHV2 P48362
Q9UGJ1-2 EBI-11522552
P38182 Q9UH92-3
Q9UH77 Q08273
P35180 Q9UHV2
P39682 Q9UHX1-5
Q9UHX1-5 P38340
P32502 Q9UHX1-5
Q9UHX1-2 P38340
Q9UHX1-5 P49955
P39682 Q9UHX1-2
Q9UI14 P38295
Q9UI14 P40454
P49955 Q9UHX1-6
Q9UHX1-6 P39682
P38340 Q9UHX1-6
P32502 Q9UHX1-6
Q9UI14 P53296
Q9UI14 P38340
Q9UI14 P39518
P32502 Q9UI14
Q9UI14 Q01590
Q9UI14 Q05637
Q9UI14 P38815
P23059 Q9UJV3-2
Q12259 Q9UJV3-2
Q12056 Q9UJC3
Q9UJ70-2 P43556
Q9UJC3 P20133
P25299 Q9UJ83
P32502 Q9UJ70-2
P32502 Q9UJC3
Q9UJV3-2 Q06630
Q9UJV3-2 P46945
P39946 Q9UJV3-2
P47041 Q9UJV3-2
Q9UJV3-2 Q12056
Q9UJV3-2 P35184
P15732 Q9UJV3-2
P20053 Q9UJV3-2
Q9UJV3-2 Q06411
P40454 Q9UJV3-2
P38770 Q9UJW9
Q9UJW9 Q04307
P53038 Q9UJV3-2
Q9UJV3-2 P38260
P32502 Q9UJV3-2
Q9UJW9 P47086
Q9UKT9 P06782
Q9UKT9 P47041
Q9UJX2 EBI-11522371
P32502 Q9UJX2
Q08204 Q9UKS7-2
Q9UKT9 P40014
Q9UKT9 P23059
Q02831 Q9UKT9
Q9UKT9 P38261
P53286 Q9UKT9
Q06411 Q9UKT9
P46678 Q9UL45
Q9UKT9 P38263
Q9UKT9 P46948
Q9UKT9 P39729
P28004 Q9UKT9
P40092 Q9UMX0
P38886 Q9UMX0
P38340 Q9ULA0
P15202 Q9ULX6
Q04201 Q9UMX0
P00431 Q9UMX0
EBI-11522614 Q9UMX0
P54860 Q9UMX0
P38868 Q9UMX0
Q9UMX0 EBI-11522626
Q9UMX0 P61829
Q9UMX0 Q02771
P35176 Q9UMX0
P13130 Q9UMX0
P40325 Q9UMX0
Q04712 Q9UPY8
Q9UPT5-1 P40482
Q9UNE7 P32502
P53933 Q9UNF0
P38247 Q9UNE7
P69851 Q9UPT5-1
P38340 Q9Y281
P46680 Q9Y281
Q9UPY8 P32502
Q9UPY8 P32902
G5E962 Q9URQ5
Q9Y2D8 Q04712
Q9Y2D8 Q12259
Q9Y294 P02309
Q9Y294 Q12161
Q9Y2D8 P32502
P40498 Q9Y2D8
P47041 Q9Y2D8
Q9Y2D8 Q08204
Q07379 Q9Y2D8
Q9Y2J4 P33297
Q9Y2J4 P53129
P38340 Q9Y2D8
P40454 Q9Y2J4
Q9Y2J4 Q07732
P40482 Q9Y2W2
P53829 Q9Y2J4
Q9Y2J4 P32458
Q07379 Q9Y2J4
Q9Y2J4 Q99344
Q9Y3A3 P40454
Q9Y371 P38340
P53218 Q9Y371
Q9Y2W2 P39682
P23285 Q9Y2W7
Q9Y2W2 P20081
P35176 Q9Y2W7
Q9Y3Q8 P25372
P46948 Q9Y3Q8
P40368 Q9Y3C0
P32502 Q9Y3Q8
Q9Y3Q8 P40455
P28004 Q9Y3Q8
P53933 Q9Y5X1
Q02256 Q9Y5P8-2
Q03020 Q9Y3Q8
P15732 Q9Y4K3
Q9Y3Q8 P40454
P13130 Q9Y5P4-2
Q9Y6D9 P53933
Q9Y6D9 P32502
P32571 Q9Y6D9
Q9Y6D9 P28004
P39976 Q9Y6D9
Q9Y6D9 Q03718
Q9Y6N9-4 P38781
Q9Y6K9 Q04712
P17967 Q9Y6N9-4
Q8NHQ1 P32902
Q8WWB3 P32902
P32902 Q8WXE1-3
Q96KN7-4 P32902
Q96ED9-2 P32902
Q96HT8 P32902
P33297 P18848
P32902 Q9BV19
P32902 Q9H892-2
Q9UPY8 P32902
P62333 P33297
P33297 Q9P2K3-2
P33417 B0QYN7
Q9Y2J4 P33297
P33299 Q16401
Q9H190 P33322
P33417 P63279
Q9BW62 P33441
P35176 O43765
P35176 O43681
O14641 P33750
P34164 Q99750
P33750 Q92997
Q9BQ66 P34164
P35180 Q53EZ4
O43765 P35180
Q8N6L0 P35179
Q9Y2W7 P35176
Q96EQ0 P35176
P46379-2 P35176
P35176 Q9UMX0
P35184 Q53EZ4
Q12800 P35184
P35184 P14373
P35180 Q8N6Y0
Q8WV92 P35182
P35180 Q9UHV2
P35180 Q8NHQ1
P35184 A0A0C4DGS5
Q9NSC5 P35191
P35184 Q9UJV3-2
P35184 Q9NVV9
P35184 Q8IXK0-5
Q93062-3 P35184
P35184 Q8N9N5-2
P35184 Q8N7W2-2
Q99750 P35184
P19012 P36009
Q969G2 P36001
P35719 P07954
P63279 P35192
P35719 A0A024R4Q5
P35192 Q8N9N5-2
O95273 P35719
P36084 EBI-11522976
O43765 P36057
Q8NEU8 P36019
P36009 Q13422-7
P36018 Q8NEU8
Q96BR9 P36009
P36019 Q8N612
Q96BD8 P36118
P36108 Q96L14
P36086 P19012
A0A0C4DGS5 P36084
Q15415 P36084
O14641 P36084
Q5VWX1 P36084
P37263 Q9H190
Q969J2 P37263
P63279 P37263
P37263 Q9HCM9-2
A0A0C4DGS5 P36149
Q15437 P36125
Q13422-7 P36534
P38128 O14641
P38128 O00505
P38128 A0A0C4DGS5
Q9NP64 P37263
P38084 Q8N6L0
P38011 Q13829
P38011 O43765
P38109 Q14145
P38151 Q8N7W2-2
P09012 P38151
A0A0C4DGS5 P38151
P38128 P14373
Q9NRQ2 P38128
P38128 P62714
P38148 Q96ED9-2
P38182 Q12983
P38182 O60238
O43379 P38182
P38151 Q96PU8
Q15437 P38166
Q9HCM9-2 P38151
Q9HAN9 P38151
O43765 P38168
Q8N6L0 P38206
Q8IV61 P38206
P38203 P14373
Q9UH92-3 P38182
Q96GX9 P38182
P38182 Q92609
A0A0C4DGS5 P38261
P38260 Q9UJV3-2
P38260 P11142
EBI-11522976 P38234
P38251 P56279
P38247 Q9UNE7
P38260 O95273
P38263 Q9UKT9
Q8TAP6 P38263
P38263 Q5SW96
P38261 Q9UKT9
P14373 P38263
P38263 A0A0C4DGS5
P38263 Q15654
P38319 P63279
Q9BW62 P38306
P38302 Q92733
P14136 P38265
P38295 Q9UI14
Q96LP2 P38271
P43365 P38302
EBI-11522976 P38340
Q13490 P38339
Q96HH9 P38331
P38334 O43617
P38339 O14641
P38340 A0A0C4DFU2
A0A0A0MQS1 P38340
P38340 EBI-11528211
P38340 EBI-11528223
Q96A10 P38340
H3BTW2 P38340
E7EUC7 P38340
P38340 O00463
P38340 O15217
P38340 O00635
A0A0R4J2E4 P38340
P38340 O95045-2
P38340 O75525
O43791 P38340
P38340 O60547
P38340 O60232
P38340 O75150
P02792 P38340
P00492 P38340
P38340 O95073-2
P38340 O95199
P38340 O95198
O96006 P38340
P38340 P23511-2
P38340 P20591
P15531 P38340
P07195 P38340
P38340 P07910-2
P38340 P07910
P12268 P38340
P38340 P49247
P48775 P38340
P35520 P38340
P38432 P38340
P38340 P38159
P38340 P38646
P38340 P63279
P38340 P63261
P60709 P38340
P38340 P61289
P60891 P38340
P38340 P62333
Q13867 P38340
P38340 Q13155
P38340 P98170
P38340 Q12800
P38340 Q03393
P38340 Q13049
Q16637 P38340
P38340 Q15427
P38340 Q14749
P38340 Q15038
Q15025 P38340
Q15415 P38340
P38340 Q6RW13-2
Q5VWX1 P38340
P38340 Q16637-3
P38340 Q5JST6
Q53EZ4 P38340
P38340 Q5T124-6
P38340 Q8IXK0-5
P38340 Q86UW9
Q86WT6-2 P38340
Q8IUQ4-2 P38340
P38340 Q8NHQ1
P38340 Q8NDC0
Q8NA61-2 P38340
Q8N6K7-2 P38340
Q8N0S2 P38340
Q969F0 P38340
Q93062-3 P38340
P38340 Q8WW34-2
Q8WVF5 P38340
P38340 Q8TAP6
Q8NHQ1-3 P38340
Q96EY1-3 P38340
P38340 Q96DZ9-2
Q96CD2 P38340
P38340 Q96BR9
P38340 Q96AA8
Q99836 P38340
P38340 Q96PU8
Q96MF2 P38340
P38340 Q96MA1
Q96HR9 P38340
Q9BYV6-2 P38340
Q9BV19 P38340
Q9BUZ4 P38340
Q9BPX1 P38340
Q99942 P38340
P38340 Q9NRY6
Q9NQC3-3 P38340
P38340 Q9HCK0
Q9HAN9 P38340
Q9C0F1 P38340
P38340 Q9UHX1-2
Q9UDV6 P38340
P38340 Q9P2A4
Q9NWS6 P38340
P38340 Q9NVV9
Q9NSC5 P38340
Q9Y281 P38340
Q9ULA0 P38340
Q9UI14 P38340
P38340 Q9UHX1-6
Q9UHX1-5 P38340
Q8NF64 P38635
Q96BA8 P38374
P38340 Q9Y371
P38340 Q9Y2D8
O75569 P38732
P38703 P63279
Q96BA8 P38695
P38695 Q8N6L0
Q99259 P38635
Q8WW34-2 P38736
P38736 Q8N6L0
Q12846 P38736
Q9H898-2 P38732
P38432 P38732
Q7L190 P38744
Q5JR59-3 P38744
P38744 Q02363
O76083-2 P38744
Q96BA8 P38736
P38763 Q8IYF3-3
P10644 P38756
Q96BA8 P38775
Q9UJW9 P38770
P38770 Q9BXL8
P63010-2 P38769
Q8TAP6 P38792
P38792 G5E962
P38781 Q9Y6N9-4
Q96KN7-4 P38781
Q96GY0 P38822
P38815 Q9UI14
P38815 Q96HR9
P38815 Q8WW34-2
P38815 Q6RW13-2
Q13137 P38815
Q96BA8 P38842
Q8N6L0 P38842
P38838 P63279
Q8N6L0 P38837
P38828 Q8TAP6
Q9UMX0 P38868
Q6P1W5 P38868
Q13049 P38868
O43765 P38868
P38886 Q9BYV6-2
Q9HCM9-2 P38879
P38879 P20290-2
G5E962 P38871
Q9UMX0 P38886
Q96HU1 P38913
Q96BA8 P38894
O14641 P38891
P63279 P38986
P38986 Q96IK5
P38932 Q13190
O00444 P39009
O14641 P39009
O94972 P39009
P38991 P63279
O14777 P39518
P39518 O00635
P39014 A0A0C4DGF1
P39078 Q13287
O95197-3 P39518
P39518 P22234
P39518 P07910-2
O96006 P39518
O76083-2 P39518
P39518 P49902
Q13137 P39518
Q13422-7 P39518
P39518 Q15041
P35520 P39518
P39518 Q96BR9
Q8IUQ4-2 P39518
Q8N7W2-2 P39518
P39682 O14641
P39518 Q9UI14
Q9NPJ6 P39518
P39518 Q96KN7-4
Q9BSE2 P39547
Q96MA1 P39682
P39682 Q9NSC5
P39682 Q9P2A4
P39682 P31249
P39682 Q9Y2W2
Q9UHX1-6 P39682
Q9UHX1-5 P39682
Q9UHX1-2 P39682
P39724 Q15654
Q15437 P39724
P39724 Q13422-7
O76003 P39724
Q14566 P39946
P39729 Q9UKT9
A0A0C4DGS5 P39729
Q8NHQ1 P39724
Q8N9N5-2 P39724
P39961 Q9H9H4
Q9UJV3-2 P39946
P39946 Q96HB5
P39946 Q5JR59-3
P49910 P39984
P39976 Q9Y6D9
P39962 A4D127
P39996 Q8N6L0
Q8N6G5 P39996
Q16637-3 P39990
Q16637 P39990
Q15311 P40014
P40014 P37198
P40014 P19012
P40014 A0A0C4DGS5
Q9UKT9 P40014
Q8N6Y0 P40014
P40014 Q6P1W5
P40070 Q13049
P40045 P19012
O76081-6 P40045
O14641 P40087
P40078 O14641
P40075 O15209
Q96BA8 P40074
P40099 A0A0C4DFM5
Q9UMX0 P40092
Q8WTU0 P40087
P63279 P40151
O60684 P40151
Q96BA8 P40107
P13196 P40099
Q96BA8 P40260
P40217 O75821
P40185 Q12800
Q96BA8 P40152
P40302 O75936
H3BTW2 P40302
A9UHW6-2 P40302
P40302 Q14566
Q13137 P40302
P40302 P14373
O95073-2 P40302
Q96CV9-2 P40302
Q96CV9 P40302
Q8TAP6 P40302
P40302 Q5JR59-3
Q9NSC5 P40302
P40302 Q9H773
Q9H257-2 P40302
P40312 Q8N6L0
Q8NEU8 P40303
P40303 A0A0C4DGS5
O14641 P40325
O00308 P40325
E9PFK9 P40325
P40325 Q13137
P40325 Q04323-2
P40325 Q04323
O75886 P40325
Q96C32 P40325
P40325 Q15025
P40325 Q13490
P40325 Q9UMX0
Q9NPJ6 P40325
Q96CV9-2 P40325
P40325 Q96CV9
P37198 P40368
A2A369 P40354
Q8NHQ1 P40348
P40368 Q9Y3C0
P40368 Q9HCM9-2
P40368 Q9BQD3
G5E962 P40454
A2A369 P40454
Q15645 P40446
O96006 P40454
O76083-2 P40454
P40454 O15156-2
P40454 P19012
P40454 P15531
P14373 P40454
P81877 P40454
P40454 P48775
P40454 P38432
P40454 P35638
Q8NHQ1 P40454
P40454 Q8NA61-2
Q8N7W2-2 P40454
P40454 Q5JR59-3
Q96CV9-2 P40454
P40454 Q96CV9
P40454 Q8TC20-4
Q9H257-2 P40454
P40454 Q9BRK4
Q96MT8-3 P40454
Q96GX9 P40454
Q9UI14 P40454
P40454 Q9NR46
Q9UJV3-2 P40454
P40454 Q9Y3Q8
P40454 Q9Y3A3
P40454 Q9Y2J4
Q8N9N5-2 P40455
Q5JR59-3 P40455
O14641 P40455
A0A0C4DGS5 P40455
P40460 O14964
Q9Y3Q8 P40455
P40455 Q9BRK4
Q93062-3 P40473
P40473 Q6P1W5
P63279 P40473
Q96BA8 P40471
G5E962 P40481
O43186 P40482
Q5T124-6 P40482
Q5JST6 P40482
P40482 P48775
O76081-6 P40482
P40482 Q9Y2W2
Q9UPT5-1 P40482
P40482 Q9BYV6-2
Q96BR9 P40482
P40498 Q9Y2D8
P40491 O95273
P40487 Q9BQC3
P40507 O14641
EBI-11522976 P40507
Q96BA8 P40501
P07910-2 P40507
P38159 P40507
P15622-3 P40507
P40507 Q8WTR7
P40507 Q8NHQ1
P40507 Q5VWX1
Q96BA8 P40533
Q8N6L0 P40533
P40507 Q96IK5
Q8WV44 P40507
P26641 P40560
EBI-11522976 P40560
P40554 EBI-11531492
Q96B96 P40581
Q8N6L0 P40567
P56279 P40560
A0A0A0MQZ8 P40956
Q96BA8 P40857
P23511-2 P40956
O43251-3 P40956
O43186 P40956
O14641 P40956
P40956 Q6P1W5
Q15038 P40956
P40956 P63279
P40956 Q93062-3
P40956 Q92734
P40956 Q8N684-3
P40956 Q9NP66
Q9BQY4 P40956
P40956 Q96MA1
P40958 Q5JR59-3
Q9NRA8-2 P40956
P40956 Q9NRA8
Q13137 P41911
Q12800 P41902
P40959 O43791
P40692 P42843
Q96BA8 P42836
Q8NHQ1 P41911
P42937 Q9UFD9
P42937 EBI-11522976
P42846 Q9H190
Q99750 P42947
P42944 A0A0C4DGS5
P43556 Q9UJ70-2
P43556 Q8WW24
P43552 P46379-2
