G5E962 Q9URQ5
P14373 P38203
P14373 P38263
A0A0C4DGS5 P38263
O95273 P38260
P38260 P11142
A0A0C4DGS5 P38261
O00635 P38340
P38265 P14136
O43617 P38334
O14641 P38339
O60232 P38340
P38340 P23511-2
P38159 P38340
P38340 O43791
O60547 P38340
P07195 P38340
O96006 P38340
P38340 P20591
A0A0R4J2E4 P38340
P38340 O95045-2
A0A0C4DFU2 P38340
P38340 H3BTW2
P12268 P38340
P07910-2 P38340
P38340 O15217
P38340 O95198
P38340 A0A0A0MQS1
O95199 P38340
P38340 EBI-11528211
P38340 E7EUC7
O00463 P38340
O95073-2 P38340
P38340 Q96A10
O75150 P38340
P02792 P38340
P15531 P38340
P38340 EBI-11528223
EBI-11522976 P38340
O75525 P38340
P38340 P38432
P38340 P07910
P35520 P38340
P38340 P00492
P38732 P38432
P38432 P32502
P25377 P38432
P38646 P38340
P38792 G5E962
O75569 P38732
P38744 O76083-2
P10644 P38756
P39009 O00444
O14641 P38891
O43765 P38868
P38871 G5E962
P20290-2 P38879
P39518 O95197-3
P39009 O14641
O94972 P39009
A0A0C4DGF1 P39014
P39518 P07910-2
P39518 P35520
P22234 P39518
P39518 O96006
P39518 O76083-2
O00635 P39518
P37198 P40014
A4D127 P39962
P39729 A0A0C4DGS5
O14777 P39518
P39682 O14641
P39682 P31249
P39724 O76003
P40075 O15209
P19012 P40045
P40014 P19012
P40014 A0A0C4DGS5
P40045 O76081-6
O14641 P40078
P14373 P40302
H3BTW2 P40302
A9UHW6-2 P40302
P40087 O14641
O75821 P40217
O60684 P40151
P40099 P13196
P40099 A0A0C4DFM5
O75936 P40302
P40454 P14373
P19012 P40454
P40454 P35638
P40368 P37198
P40354 A2A369
O95073-2 P40302
P40325 E9PFK9
O00308 P40325
P40325 O75886
P40303 A0A0C4DGS5
O14641 P40325
P40482 O43186
G5E962 P40481
P40460 O14964
A0A0C4DGS5 P40455
O14641 P40455
P40454 P15531
P40454 O96006
P40454 G5E962
P40454 O76083-2
P38432 P40454
P40454 A2A369
P40454 O15156-2
EBI-11531492 P40554
P40507 P15622-3
P40507 EBI-11522976
P40482 O76081-6
P40507 P38159
P40507 P07910-2
O95273 P40491
O14641 P40507
O14641 P40956
A0A0A0MQZ8 P40956
O43251-3 P40956
EBI-11522976 P40560
EBI-11522307 P40855
P40560 P26641
P40956 P23511-2
P40956 O43186
P43355 P28004
P43355 P00431
O43791 P40959
A0A0C4DGS5 P42944
P42937 EBI-11522976
P42843 P40692
P17255 P43355
P38302 P43365
P43365 P32502
P43365 O13539
P25377 P43365
P43355 EBI-11522208
P32902 P43361
EBI-11522208 P43358
P32502 P43356
P28004 P43365
P46948 A0A0C4DGS5
P20807-4 P46948
P46680 P40123
P23285 P46379-2
P43569 O43639
P43552 P46379-2
P43618 O95198
P19012 P43592
O95751 P43592
P35176 P46379-2
P47094 O43765
P19012 P47041
A0A0C4DGS5 P47041
P47041 P14136
P47041 EBI-11524292
P08727 P47041
P47041 EBI-11522976
P47041 A0A0R4J2E4
P14373 P47041
P48232 P08727
P48232 P37198
P48232 P19012
P19012 P47121
O00444 P47141
A4D127 P47133
P14136 P47121
A0A024R4Q5 P47167
P48837 P19012
P48837 P43365
A0A0C4DGS5 P48837
P48837 H3BTW2
P48837 P13196
O14641 P48510
P40454 P48775
P48775 P32502
P38340 P48775
P32610 P48775
P40482 P48775
P51116 P29461
P51116 P32354
P51116 EBI-11522220
P39984 P49910
P37198 P48837
P32502 P49247
P49247 P38340
P26641 P49090
P39518 P49902
O43791 P53278
O95198 P53202
O43791 P53202
P53140 P43355
P53102 P43355
P53051 P38646
J3KQ12 P52870
P20676 P51116
P49366 P53331
O14641 P53305
EBI-11533440 P53296
P53286 EBI-11522976
P53286 P14373
A0A0C4DGF1 P53286
P53296 O95197-3
O14641 P53617
A4D127 P53583
P53829 P32321
P42575 P53829
P53617 O95751
P37198 P53829
P53829 P14136
P53829 P00492
P53829 H3BTW2
A0A0C4DGS5 P53829
P14373 P53933
A0A0C4DGS5 P53933
P53933 O95273
P53829 P13196
A0A024R4Q5 P53900
P43365 P53900
O95273 P53833
P43365 P53923
P40123 P60010
P56279 P38251
P56279 P32502
P40560 P56279
P53992 P53829
P54791 A0A0C4DGS5
O14641 P54787
P54619 P06782
P20081 P53992
P55212 P32502
P38340 P61289
P61289 P46682
P53278 P61289
P32502 P61289
P60709 P46680
P38340 P60891
P60709 P38340
P60010 P60709
P60891 P32895
P61371 P25377
P62714 P38128
P61457 P32502
P38340 P62333
P33297 P62333
P32458 P63279
P04046 P63279
P63279 P40956
P38769 P63010-2
P63261 P38340
P63261 P60010
P46680 P63261
P27515 P63279
P38838 P63279
