Degree Betweenness Closeness Clustering Eigenvector Membership
450 481845.46953716 0.03531353 0.01760950 0.03668382 18
128 21429.32824885 0.03533451 0.19057579 0.06989994 18
198 96517.81476632 0.03532682 0.03825053 0.05345873 14
119 72859.71943487 0.03525201 0.03176186 0.03630683 0
35 22205.51510901 0.03523965 0.05546218 0.01705840 13
26 1512.19130734 0.03530777 0.15692308 0.02164990 13
203 351411.92035389 0.03522563 0.00951080 0.03436092 18
76 15706.50895001 0.03529641 0.08385965 0.03743457 18
122 106585.18078883 0.03484833 0.01205799 0.01832999 18
60 25644.76498981 0.03523535 0.03954802 0.02644125 18
7 1406.48020779 0.03467083 0.00000000 0.00302517 13
437 832968.46946677 0.03531737 0.01175656 0.05196641 13
363 220424.89885000 0.03531553 0.01785307 0.06980636 16
38 32142.62601156 0.03467661 0.08961593 0.01113337 18
306 291342.52755712 0.03535231 0.02292939 0.05805941 18
18 7020.81362725 0.03520295 0.10457516 0.01572003 13
397 248305.10429852 0.03531281 0.03110450 0.06314063 14
225 86511.96745456 0.03538989 0.06559524 0.07699438 14
68 12860.94932359 0.03519476 0.03511853 0.01902754 13
16 8834.87534154 0.03516076 0.06666667 0.01435000 13
2 0.00000000 0.03397299 0.00000000 0.00013164 13
16 70918.10227143 0.03516560 0.03333333 0.01226657 13
76 49394.64322455 0.03538113 0.12526316 0.01673552 14
393 246727.48234439 0.03531401 0.01556577 0.06398797 14
62 73593.79011597 0.03517203 0.04019038 0.02014549 13
64 77298.65137853 0.03520144 0.05406746 0.02437227 18
136 34349.34911911 0.03479634 0.07200436 0.01193474 14
18 0.00000000 0.03436253 0.34640523 0.00371221 14
56 13538.38948295 0.03526318 0.06753247 0.02157884 13
183 168810.89536191 0.03529265 0.02660181 0.04367415 14
283 309956.32360891 0.03528706 0.00799439 0.03381730 15
30 12670.71807676 0.03523933 0.07356322 0.01570875 13
2355 7487553.59006144 0.03560997 0.00327869 0.08385780 13
34 7932.67075899 0.03477700 0.03386809 0.00710762 15
83 50203.33271193 0.03517863 0.02821040 0.02264367 13
